Lustelling;;;;;;;Status utgående beholdning;;;Generell informasjon;;;;;;
Antall fisk i prøvene;Lakselus, alle stadier, siste prøve;Dato for siste lusetelling;Fastsittende lakselus, siste prøve;Bevegelige lakselus, siste prøve;Kjønnsmodne hunnlus, siste prøve;Skottelus, alle stadier, siste prøve;Utgående antall;Utgående biomasse [kg];Utgående snittvekt [g];Dato;Lokalitet;Enhet;Uke;År;Offisiell lokalitets-ID;Lokalitetsnummer
14;0,07;03. mar 2015;0,00;0,07;0,00;0,00;136 158;28 015;205,80;03.03.2015;Ørnøya I;Ø11;2015/10;2015;12394;12394
20;0,00;24. mar 2015;0,00;0,00;0,00;0,00;130 992;45 885;350,30;24.03.2015;Ørnøya I;Ø15;2015/13;2015;12394;12394
20;0,20;30. mar 2015;0,05;0,15;0,00;0,00;130 571;48 246;369,50;30.03.2015;Ørnøya I;Ø15;2015/14;2015;12394;12394
20;0,00;25. mar 2015;0,00;0,00;0,00;0,00;124 850;16 521;132,30;25.03.2015;Ørnøya I;Ø08;2015/13;2015;12394;12394
20;0,05;17. mar 2015;0,05;0,00;0,00;0,00;110 486;23 271;210,60;17.03.2015;Ørnøya I;Ø12;2015/12;2015;12394;12394
20;0,00;14. mar 2015;0,00;0,00;0,00;0,00;110 646;22 691;205,10;14.03.2015;Ørnøya I;Ø12;2015/11;2015;12394;12394
20;0,00;10. mar 2015;0,00;0,00;0,00;0,00;111 586;22 363;200,40;10.03.2015;Ørnøya I;Ø12;2015/11;2015;12394;12394
19;0,05;14. mar 2015;0,00;0,05;0,00;0,00;131 317;42 088;320,50;14.03.2015;Ørnøya I;Ø15;2015/11;2015;12394;12394
20;0,00;24. mar 2015;0,00;0,00;0,00;0,00;145 422;19 100;131,30;24.03.2015;Ørnøya I;Ø09;2015/13;2015;12394;12394
11;0,00;03. mar 2015;0,00;0,00;0,00;0,00;131 542;39 486;300,20;03.03.2015;Ørnøya I;Ø15;2015/10;2015;12394;12394
20;0,05;17. mar 2015;0,05;0,00;0,00;0,00;131 201;43 164;329,00;17.03.2015;Ørnøya I;Ø15;2015/12;2015;12394;12394
20;0,00;30. mar 2015;0,00;0,00;0,00;0,00;134 781;34 911;259,00;30.03.2015;Ørnøya I;Ø11;2015/14;2015;12394;12394
20;0,00;17. mar 2015;0,00;0,00;0,00;0,05;135 264;31 021;229,30;17.03.2015;Ørnøya I;Ø11;2015/12;2015;12394;12394
20;0,05;02. mar 2015;0,00;0,05;0,00;0,10;122 870;741 700;6 036,50;02.03.2015;Hallarøy;H03;2015/10;2015;13886;13886
20;0,00;30. mar 2015;0,00;0,00;0,00;0,00;159 246;16 823;105,60;30.03.2015;Kattholmen I;KA06;2015/14;2015;14042;14042
